Date,Open,High,Low,Close,Adj Close,Volume
2003/1/1,null,null,null,null,null,null
2003/1/2,33.166302,33.474602,32.703499,32.780399,19.280724,29925256697
2003/1/3,33.937302,34.708401,33.629101,34.5546,20.324272,52579680536
2003/1/6,34.5546,35.248798,34.245602,34.5546,20.324272,49129151006
2003/1/7,35.248798,36.174301,35.017399,35.017399,20.596478,61698511243
2003/1/8,35.094299,36.559502,35.017399,35.865299,21.095194,67404812442
2003/1/9,35.480202,35.788399,35.094299,35.480202,20.868687,48948024610
2003/1/10,36.405701,36.482601,36.174301,36.405701,21.413048,57046931096
2003/1/13,37.022301,38.951,37.022301,38.951,22.910137,1.37E+11
2003/1/14,39.336201,39.336201,38.565102,38.951,22.910137,96393049133
2003/1/15,38.951,39.336201,38.256901,38.951,22.910137,86943418590
2003/1/16,38.951,38.951,37.4851,37.4851,22.047924,59139101937
2003/1/17,37.022301,37.9478,36.6371,37.639599,22.138802,78192749263
2003/1/20,36.714001,37.022301,36.251202,36.9454,21.730484,63110707353
2003/1/21,36.9454,37.408199,36.6371,36.714001,21.594383,55275858532
2003/1/22,36.714001,37.022301,36.174301,36.8685,21.685255,39410882559
2003/1/23,37.639599,39.336201,37.639599,38.951,22.910137,99996476935
2003/1/24,39.336201,39.722099,37.870899,38.102299,22.41095,76299776876
2003/1/27,37.562698,37.7164,37.099899,37.7164,22.183971,51491856235
2003/1/28,35.6339,37.331299,35.480202,36.790901,21.639616,74556358891
2003/1/29,null,null,null,null,null,null
2003/1/30,null,null,null,null,null,null
2003/1/31,null,null,null,null,null,null
2003/2/3,null,null,null,null,null,null
2003/2/4,null,null,null,null,null,null
2003/2/5,null,null,null,null,null,null
2003/2/6,34.3232,34.708401,34.245602,34.245602,20.142521,78312311622
2003/2/7,31.854799,32.934898,31.854799,32.394501,19.053745,1.56E+11
2003/2/10,31.854799,31.854799,31.2376,31.392,18.464096,86410422721
2003/2/11,31.854799,32.394501,31.778,32.0093,18.827181,58846756630
2003/2/12,31.5466,31.778,30.9293,31.1607,18.328049,72050159352
2003/2/13,31.1607,31.7003,31.006201,31.006201,18.237179,58453278135
2003/2/14,31.7003,31.854799,31.315201,31.6234,18.600201,71910982858
2003/2/17,33.782799,33.782799,33.011799,33.782799,19.870312,77185978686
2003/2/18,33.782799,33.782799,33.011799,33.088699,19.462057,42626997469
2003/2/19,33.8605,33.8605,33.166302,33.166302,19.5077,69164814517
2003/2/20,33.166302,34.091801,33.011799,34.014198,20.006414,71036370973
2003/2/21,34.708401,35.4025,34.477001,34.6315,20.369501,93056492609
2003/2/24,34.8629,35.094299,34.3232,34.9398,20.550835,48756655578
2003/2/25,34.708401,34.708401,33.166302,33.166302,19.5077,63858225051
2003/2/26,33.32,33.706001,32.934898,33.011799,19.416828,48616791912
2003/2/27,32.472099,33.011799,32.0093,32.394501,19.053745,45889285407
2003/2/28,null,null,null,null,null,null
2003/3/3,33.088699,34.168701,32.8573,33.937302,19.961189,48204976230
2003/3/4,33.32,33.474602,33.011799,33.474602,19.689037,32170166192
2003/3/5,32.394501,32.6259,32.0093,32.086201,18.87241,60949857278
2003/3/6,32.086201,32.3176,31.854799,31.9317,18.781536,38581026073
2003/3/7,31.778,32.8573,31.6234,32.086201,18.87241,48518299193
2003/3/10,32.6259,33.088699,32.394501,32.8573,19.325951,53968361325
2003/3/11,32.394501,33.397701,32.394501,32.780399,19.280724,46218478234
2003/3/12,32.8573,33.166302,32.780399,33.166302,19.5077,32006600535
2003/3/13,33.166302,34.245602,33.011799,34.014198,20.006414,68480954834
2003/3/14,36.096699,36.096699,34.9398,35.094299,20.641708,1.51E+11
2003/3/17,34.708401,34.8629,33.937302,33.937302,19.961189,60341056157
2003/3/18,35.788399,36.251202,35.480202,36.251202,21.322172,1.41E+11
2003/3/19,36.559502,37.1768,36.251202,36.9454,21.730484,1.25E+11
